2017_09_08_1,L5,0.162,23.2534
2017_09_08_2,D1,0.1963,49.669
2017_09_11_1,D4,0.3435,46.2852
2017_09_11_2,D8,0.0667,61.8447
2017_09_12_1,L6,0.1487,30.4524
2017_09_12_2,D3,0.0367,179.9193
2017_09_13_1,D2,0.1716,63.5744
2017_09_14_1,L4,0.2105,36.7153
2017_09_15_1,L8,0.1064,13.9909
2017_08_22_1,L2,0.1562,32.7963
2017_08_22_2,L5,0.297,33.7032
2017_08_22_3,D4,0.1223,10.0168
2017_08_22_4,D7,0.502,76.2531
2017_08_23_1,L1,0.1535,55.1009
2017_08_23_2,D1,0.6043,120.2204
2017_08_23_3,D8,0,179.9841
2017_08_24_2,D2,0.1064,31.2081
2017_08_24_3,L6,0.0945,15.9256
2017_09_08_1,L5,0.162,23.2534
2017_09_12_1,L6,0.1487,30.4524
2017_09_14_1,L4,0.2105,36.7153
2017_09_15_1,L8,0.1064,13.9909
2017_08_22_1,L2,0.1562,32.7963
2017_08_22_2,L5,0.297,33.7032
2017_08_23_1,L1,0.1535,55.1009
2017_08_24_3,L6,0.0945,15.9256
Light Mean,Lmean,0.1661,30.24225
2017_09_08_2,D1,0.1963,49.669
2017_09_11_1,D4,0.3435,46.2852
2017_09_11_2,D8,0.0667,61.8447
2017_09_12_2,D3,0.0367,179.9193
2017_09_13_1,D2,0.1716,63.5744
2017_08_22_3,D4,0.1223,10.0168
2017_08_22_4,D7,0.502,76.2531
2017_08_23_2,D1,0.6043,120.2204
2017_08_23_3,D8,0,179.9841
2017_08_24_2,D2,0.1064,31.2081
Dark Mean,Dmean,0.21498,81.89751
